"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1992:Q2","age40to54",33.3,34.3,33.6,33.3,30.5,43.6,37.3,26.7,40.9,42.8,34.4,41.2
"1992:Q2","ageunder40",11.7,15.6,20.8,30,9.5,11.8,13.3,11.5,40.4,40,48.2,10.8
"1992:Q3","age70plus",19.8,17.4,16,11.9,18.6,10.2,14,29.9,2.7,2.1,2.9,12.4
"1992:Q3","age55to69",34.7,32.1,27.9,24,41.7,34.7,35.5,31.7,16.1,15.3,14.9,35.6
"1992:Q3","age40to54",33.8,34.8,34.8,34.3,30.4,43.6,37.3,26.9,41,43.1,33.9,41.3
"1992:Q3","ageunder40",11.7,15.7,21.3,29.8,9.4,11.6,13.2,11.5,40.2,39.6,48.3,10.7
"1992:Q4","age70plus",20.1,17.8,15.9,12,19.6,10.8,14.7,30.1,2.8,2.2,2.8,11.8
"1992:Q4","age55to69",34.7,32.1,27.6,23.9,41.6,34.8,35.5,31.5,16,15.3,14.5,36.3
"1992:Q4","age40to54",33.6,34.7,35.2,34.4,30.2,42.9,37.3,26.9,41.4,43.4,34.5,41.2
"1992:Q4","ageunder40",11.5,15.4,21.3,29.8,8.6,11.5,12.5,11.5,39.8,39.1,48.2,10.7
"1993:Q1","age70plus",20.7,18.2,17.9,12.5,20,10.8,14.8,29.6,2.9,2.5,2.3,11.8
"1993:Q1","age55to69",35.2,32.6,29.2,25.1,41,34.2,35.4,31.8,15.9,15.3,13.6,37.2
"1993:Q1","age40to54",33.1,34.2,32.9,32.4,30.7,43.4,37.5,27.3,41.9,43.7,35.5,40.4
"1993:Q1","ageunder40",11.1,14.9,20,30,8.3,11.6,12.3,11.3,39.3,38.5,48.5,10.5
"1993:Q2","age70plus",20.7,18.2,17.5,12.6,20.3,11.1,15.2,29.5,2.8,2.5,2.1,11.4
"1993:Q2","age55to69",35,32.4,28.8,24.8,40.4,34.2,35.3,31.6,15.9,15.3,13.3,37.9
