"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1992:Q2","Other",4.7,4.8,4.9,5.3,2.8,4.1,8.1,4.2,5.1,5.4,3.9,6.4
"1992:Q3","White",88.9,88.1,87,85.1,95.2,85.2,85.6,91.5,83.5,84.1,80.6,87.2
"1992:Q3","Black",4.4,4.7,4.9,6.4,1.2,8.2,3.2,2.6,6.3,5.4,9.7,4.4
"1992:Q3","Hispanic",2,2.4,3.4,3.5,0.6,2.3,3.2,1.5,5.1,5.1,5.9,1.7
"1992:Q3","Other",4.7,4.8,4.7,5,3,4.3,8,4.5,5.1,5.3,3.8,6.7
"1992:Q4","White",89.1,88.3,87.4,85.5,94.6,84.9,86.7,91.4,83.5,84.1,80.7,87.7
"1992:Q4","Black",4.4,4.7,4.9,6.2,1.3,8.4,3.2,2.6,6.3,5.5,9.7,4.2
"1992:Q4","Hispanic",1.9,2.3,3.3,3.4,0.5,2.4,3,1.4,5,5,5.8,1.6
"1992:Q4","Other",4.6,4.7,4.4,4.9,3.6,4.4,7.1,4.6,5.1,5.4,3.9,6.4
"1993:Q1","White",88.6,88,86.1,84.1,94.6,85.2,87,91.4,84,84.3,81.9,88.7
"1993:Q1","Black",4.5,4.8,5.2,7,1.3,8.1,3.1,2.7,6.2,5.5,9.3,4
"1993:Q1","Hispanic",2.1,2.4,3.6,3.4,0.5,2.4,3,1.4,4.8,4.8,5.5,1.5
"1993:Q1","Other",4.8,4.8,5.1,5.5,3.6,4.3,6.9,4.4,5,5.4,3.3,5.7
"1993:Q2","White",88.8,88.2,86.4,84.6,94.6,85.2,87.9,91.4,84.1,84.3,82.5,89.2
"1993:Q2","Black",4.5,4.7,5.1,6.7,1.3,8,3,2.7,6.2,5.5,9.1,3.9
"1993:Q2","Hispanic",2,2.4,3.5,3.4,0.5,2.4,2.7,1.4,4.7,4.8,5.3,1.5
"1993:Q2","Other",4.7,4.7,4.9,5.3,3.6,4.4,6.3,4.4,4.9,5.4,3.1,5.5
"1993:Q3","White",89.1,88.5,87.1,85.4,94.6,85.2,88.5,91.4,84.4,84.4,82.8,90.3
"1993:Q3","Black",4.4,4.6,5,6.3,1.3,8,2.9,2.8,6.2,5.6,8.9,3.6
"1993:Q3","Hispanic",1.9,2.3,3.3,3.3,0.5,2.4,2.6,1.4,4.7,4.7,5.2,1.5
"1993:Q3","Other",4.6,4.6,4.6,5,3.7,4.4,6,4.4,4.7,5.2,3.1,4.6
"1993:Q4","White",89.2,88.5,87,85.3,94.4,85.1,88.9,91.5,84.3,84.5,82.2,91.2
"1993:Q4","Black",4.3,4.6,5.1,6.3,1.3,8,2.9,2.7,6.3,5.7,9.2,3.4
"1993:Q4","Hispanic",1.9,2.3,3.3,3.4,0.5,2.5,2.5,1.3,4.6,4.6,5.1,1.4
"1993:Q4","Other",4.6,4.6,4.6,5,3.8,4.4,5.7,4.5,4.8,5.2,3.5,4
"1994:Q1","White",88.7,88.2,86.1,84.5,94.8,84.8,89.4,91.4,84.7,84.7,83.3,91.6
"1994:Q1","Black",4.4,4.7,5.3,6.8,1.3,7.9,2.7,2.7,6.3,5.7,8.8,3.3
"1994:Q1","Hispanic",2.1,2.4,3.5,3.4,0.5,2.5,2.4,1.5,4.5,4.6,4.9,1.4
"1994:Q1","Other",4.8,4.7,5.1,5.3,3.4,4.7,5.5,4.4,4.5,5,3.1,3.7
"1994:Q2","White",89,88.4,86.2,84.5,95.4,84.7,90.4,91.5,84.6,84.7,82.9,91.9
"1994:Q2","Black",4.3,4.6,5.3,6.7,1.2,7.7,2.4,2.6,6.4,5.8,8.9,3.2
"1994:Q2","Hispanic",2,2.4,3.5,3.5,0.5,2.6,2.1,1.5,4.4,4.5,4.8,1.4
"1994:Q2","Other",4.7,4.7,5,5.3,2.9,5,5.2,4.4,4.6,5.1,3.3,3.4
