"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1991:Q3","pct40to60",11.9,12.3,14.1,15,7,13.1,8.4,12.4,14.2,12.6,20.7,7.6
"1991:Q3","pct20to40",7.6,7.4,10,9.8,3.2,6.8,3.1,7.9,6.5,5.1,11.6,3.7
"1991:Q3","pct00to20",3.3,3.2,4.6,4.5,1.3,2.5,1.8,3.2,2.8,1.7,6.4,2.2
"1991:Q4","pct99to100",17.4,15.8,8.4,11.4,31.7,7.4,31.7,18.7,5.6,5.6,1.8,26.3
"1991:Q4","pct80to99",42.8,43.2,42,36.7,46.7,46.6,43.4,42,45.2,49.5,30.6,48.8
"1991:Q4","pct60to80",17.1,18.2,20.4,22.4,10.4,23.7,11.4,16,25.4,25.4,28.3,12.4
"1991:Q4","pct40to60",11.8,12.2,14.1,15.1,6.8,13,8.6,12.4,14.3,12.7,20.9,7.3
"1991:Q4","pct20to40",7.5,7.4,10.1,9.9,3.1,6.9,3.1,7.8,6.7,5.2,12.2,3.7
"1991:Q4","pct00to20",3.4,3.3,5.1,4.5,1.4,2.5,1.8,3.1,2.8,1.8,6.3,1.5
"1992:Q1","pct99to100",17.3,15.7,8.7,11.3,30.8,7.3,31.9,18.8,5.8,5.8,1.8,26.6
"1992:Q1","pct80to99",42.9,43.3,42.1,36.4,47,47.4,42.8,41.8,45.4,49.6,30.4,47.3
"1992:Q1","pct60to80",17.2,18.2,20.3,22.3,10.5,23.6,11.8,16.1,25,24.9,27.6,12.5
"1992:Q1","pct40to60",11.8,12.1,13.9,15.2,7,12.5,8.8,12.4,14.2,12.5,21.1,8.1
"1992:Q1","pct20to40",7.4,7.3,9.9,10,3.3,6.8,2.9,7.8,6.8,5.3,12.6,3.8
"1992:Q1","pct00to20",3.4,3.3,5.1,4.7,1.4,2.4,1.9,3.1,2.9,1.9,6.6,1.8
"1992:Q2","pct99to100",17.3,15.7,9,11.2,30.6,7.4,32,18.9,6.1,6,1.7,28.3
"1992:Q2","pct80to99",43,43.3,42.1,36.3,46.8,47.8,42.5,41.7,45.3,49.7,29.9,46.6
"1992:Q2","pct60to80",17.2,18.3,20.3,22.2,10.7,23.4,12,16,24.6,24.6,27.3,11.7
"1992:Q2","pct40to60",11.8,12.1,13.8,15.3,7.1,12.3,8.9,12.5,14.1,12.4,21.3,8
"1992:Q2","pct20to40",7.4,7.3,9.9,10.2,3.4,6.7,2.8,7.8,6.9,5.3,13.2,3.8
"1992:Q2","pct00to20",3.4,3.3,5,4.8,1.4,2.4,1.9,3.1,2.9,2,6.5,1.5
"1992:Q3","pct99to100",17.1,15.6,8.6,10.3,30.5,7.4,32.2,18.9,6.2,6.1,1.5,29
"1992:Q3","pct80to99",42.7,43.1,41.2,36.7,46.8,48,41.7,41.7,45.1,49.5,29.7,45.8
"1992:Q3","pct60to80",17.4,18.4,20.5,22.3,10.7,23.4,12.4,16,24.5,24.5,27.1,11.6
"1992:Q3","pct40to60",11.8,12.2,14,15.8,7.1,12.1,9,12.6,14.2,12.5,21.4,8.4
"1992:Q3","pct20to40",7.4,7.4,10.2,10.2,3.5,6.7,2.7,7.8,7,5.3,13.7,3.8
"1992:Q3","pct00to20",3.5,3.4,5.5,4.7,1.4,2.4,1.9,3.1,3,2,6.6,1.4
"1992:Q4","pct99to100",17.4,15.8,8.7,10.3,31.2,7.2,32.2,19.1,6.1,6.1,1.5,28.2
"1992:Q4","pct80to99",42.7,43,41,36.7,46.8,48.1,41.1,41.5,44.9,49.2,30.1,45.3
"1992:Q4","pct60to80",17.5,18.5,20.7,22.4,10.5,23.7,12.5,16.1,24.6,24.7,27,12
"1992:Q4","pct40to60",11.7,12,14,15.8,6.8,12,8.9,12.5,14.2,12.5,21.3,8.5
"1992:Q4","pct20to40",7.4,7.4,10.2,10.1,3.4,6.6,3,7.8,7.2,5.5,13.5,4.5
"1992:Q4","pct00to20",3.4,3.4,5.4,4.7,1.4,2.3,2.2,3.1,3.1,2.1,6.6,1.5
"1993:Q1","pct99to100",17.8,16.2,9.4,11.4,31.3,7.2,31.9,19.6,6.2,6.1,1.5,28.4
"1993:Q1","pct80to99",42.8,43.1,42,36,46.7,47.7,41.2,41.4,45,49,31,45.5
"1993:Q1","pct60to80",17.3,18.3,20.3,22.3,10.5,23.6,12.6,15.8,24.4,24.7,26.2,11.7
"1993:Q1","pct40to60",11.4,11.8,13.5,15.1,6.7,12.2,8.9,12.3,14,12.4,21.1,7.9
"1993:Q1","pct20to40",7.3,7.3,9.8,10.3,3.4,6.8,2.9,7.8,7.2,5.6,13,5.1
