"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2008:Q3","pct80to99",27737957,33796182,9332389,1589046,4411738,8446075,3687376,6329558,6058225,4912767,831111,314347
"2008:Q3","pct60to80",8728145,12258568,4197467,1024009,997030,3548611,684859,1806591,3530423,2721697,747488,61238
"2008:Q3","pct40to60",5608070,7597507,2633897,756450,484689,1904663,389946,1427862,1989437,1469013,503945,16479
"2008:Q3","pct20to40",3271745,4211555,1696103,452887,247345,820437,159264,835518,939809,603688,314711,21410
"2008:Q3","pct00to20",2188535,2742920,1157259,275317,232993,240712,461478,375161,554385,330198,206518,17668
"2008:Q4","pct99to100",12066332,12798480,2232041,468769,2671088,997106,2356678,4072798,732149,613441,40208,78499
"2008:Q4","pct80to99",26692140,32556225,9102775,1578596,3629481,8423599,3484706,6337067,5864084,4864859,835572,163653
"2008:Q4","pct60to80",8456204,11949645,4012429,1012905,765797,3346657,640577,2171279,3493441,2685613,736045,71783
"2008:Q4","pct40to60",5420382,7428965,2586948,765764,443099,1766837,372227,1494089,2008583,1469775,504541,34268
"2008:Q4","pct20to40",3252961,4191138,1677303,450639,207989,759267,164627,931313,938177,608451,311131,18595
"2008:Q4","pct00to20",2257646,2848259,1175875,288583,222106,209308,452367,500020,590614,335117,216291,39206
"2009:Q1","pct99to100",11605447,12311121,2063899,458935,2253052,963400,2183771,4388065,705674,612390,37659,55625
"2009:Q1","pct80to99",26615062,32426751,8856280,1575282,3306425,8487265,3362508,6838991,5811689,4843667,832492,135530
"2009:Q1","pct60to80",7852557,11299314,3799628,1004143,669938,3257944,600195,1967464,3446756,2677997,694117,74643
"2009:Q1","pct40to60",5410251,7420830,2574285,769695,416598,1729540,359584,1571129,2010579,1485765,488628,36186
"2009:Q1","pct20to40",3171697,4091500,1692402,448828,190974,740484,157125,861689,919804,615587,288268,15949
"2009:Q1","pct00to20",2279886,2899124,1280524,294397,217968,200741,457119,448374,619238,341620,236978,40640
"2009:Q2","pct99to100",11767082,12487369,2079107,450975,2874967,996612,2003144,4082565,720287,617955,39474,62859
"2009:Q2","pct80to99",26781812,32589021,8642320,1586734,3961946,8687294,3055601,6655126,5807209,4840905,823773,142531
"2009:Q2","pct60to80",8181369,11565939,3729184,1001853,793764,3390518,594403,2056217,3384570,2631724,675971,76875
"2009:Q2","pct40to60",5454016,7455353,2524071,768750,458576,1822662,353502,1527792,2001338,1478879,485245,37214
"2009:Q2","pct20to40",3309766,4239381,1663096,448956,216044,780330,216439,914516,929615,626213,285054,18347
"2009:Q2","pct00to20",2225347,2860843,1209723,290706,247630,217952,428626,466207,635497,351137,239357,45003
