"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1992:Q3","HS",4488976,5254825,1610026,477593,396074,1222324,494263,1054544,765849,547909,198402,19539
"1992:Q3","NoHS",1803907,2016048,671598,195822,100488,373541,193092,481509,212141,142299,63822,6019
"1992:Q4","College",12797963,14714113,3656605,1013413,2137718,3043128,1693642,3169608,1916151,1447803,356526,111822
"1992:Q4","SomeCollege",4894459,5798602,1654058,488873,588235,1343163,636950,1087323,904143,682244,194171,27729
"1992:Q4","HS",4556019,5349838,1642744,494801,423876,1239576,487320,1061520,793819,565922,207278,20620
"1992:Q4","NoHS",1820055,2037134,689574,196168,102879,380367,190136,478011,217079,144385,66795,5900
"1993:Q1","College",12967690,14870603,3727562,993841,2213136,3070596,1703952,3161516,1902914,1448955,336297,117661
"1993:Q1","SomeCollege",4953053,5862343,1622231,514196,618235,1372000,642675,1093006,909289,686290,193751,29249
"1993:Q1","HS",4596236,5403266,1603000,481885,441785,1311451,500860,1064284,807030,574222,210943,21866
"1993:Q1","NoHS",1866263,2083327,701262,216478,104059,390885,196057,474586,217064,144721,66271,6071
"1993:Q2","College",13034709,14945108,3715611,990634,2254381,3107433,1726037,3151013,1910399,1462417,329994,117988
"1993:Q2","SomeCollege",5015264,5945617,1658551,526561,637343,1386117,649313,1087733,930354,701112,201335,27906
"1993:Q2","HS",4702862,5541730,1659696,505012,449094,1354841,501635,1071451,838868,596595,219485,22788
"1993:Q2","NoHS",1884856,2106373,710046,214046,103471,406355,197475,474981,221517,147704,67847,5966
"1993:Q3","College",13184927,15104418,3692565,988795,2367321,3150968,1749339,3155431,1919491,1464272,329730,125489
"1993:Q3","SomeCollege",5095900,6055358,1697406,537321,671377,1408101,652431,1088722,959457,717939,212320,29197
"1993:Q3","HS",4830138,5708468,1719485,530271,468649,1398527,507723,1083814,878330,623953,230419,23959
"1993:Q3","NoHS",1903401,2132039,722678,209492,104908,419997,199321,475643,228638,151853,70199,6586
"1993:Q4","College",13429532,15373162,3709883,988837,2497578,3195278,1778683,3202904,1943630,1472027,340954,130650
"1993:Q4","SomeCollege",5166115,6155047,1721522,554452,703161,1428679,657780,1089452,988933,729901,228949,30082
"1993:Q4","HS",4914443,5823528,1756662,546280,483670,1421782,514657,1100476,909085,642997,241112,24977
"1993:Q4","NoHS",1921152,2157387,733458,212509,105543,430153,198665,477059,236235,154253,75154,6827
"1994:Q1","College",13462779,15389118,3765132,979491,2341183,3219303,1809540,3274469,1926340,1466531,327421,132388
"1994:Q1","SomeCollege",5177851,6181277,1719593,574057,698222,1417572,665197,1106635,1003426,741672,232543,29211
"1994:Q1","HS",4953775,5892798,1757644,548192,480495,1459414,528045,1119009,939024,664032,248666,26325
"1994:Q1","NoHS",1977729,2217188,741645,224297,103749,461935,208048,477514,239459,157234,75246,6979
"1994:Q2","College",13341871,15291917,3786023,979030,2221163,3226346,1835219,3244137,1950046,1481332,334337,134378
"1994:Q2","SomeCollege",5226190,6255038,1739352,589627,715532,1415390,671257,1123880,1028847,753105,246781,28961
"1994:Q2","HS",5107705,6074409,1787050,563885,501700,1521480,537304,1162990,966704,681044,257897,27764
"1994:Q2","NoHS",2055822,2301520,757743,227006,106025,495170,226485,489090,245698,159141,79566,6991
"1994:Q3","College",13390981,15363593,3763803,983295,2236840,3267227,1855082,3257347,1972612,1493813,344521,134278
"1994:Q3","SomeCollege",5311685,6367919,1770449,601627,744100,1439478,667723,1144543,1056234,765640,262892,27702
"1994:Q3","HS",5255328,6252477,1834279,588367,523790,1566461,548342,1191237,997149,700104,268157,28888
"1994:Q3","NoHS",2099414,2352088,779006,223210,108148,512745,233800,495179,252675,161491,84383,6800
"1994:Q4","College",13367402,15384683,3767246,981226,2156645,3282066,1879086,3318414,2017282,1509850,365546,141886
"1994:Q4","SomeCollege",5344995,6436547,1780281,613812,763553,1432048,670556,1176296,1091552,776661,284751,30139
"1994:Q4","HS",5357359,6383482,1848584,605506,543630,1582628,559016,1244119,1026123,716200,279444,30479
"1994:Q4","NoHS",2179121,2441014,809947,223619,110082,543519,248521,505326,261894,163229,91427,7239
"1995:Q1","College",13544819,15548262,3756072,984017,2286666,3313628,1900283,3307596,2003443,1508173,354998,140272
"1995:Q1","SomeCollege",5497512,6602105,1796437,630990,815295,1477784,674195,1207404,1104593,785851,290410,28333
"1995:Q1","HS",5516570,6567717,1880573,618678,582937,1655733,569275,1260522,1051147,732641,286661,31846
"1995:Q1","NoHS",2214297,2478952,818989,227014,114734,550326,259831,508059,264655,165261,92478,6916
"1995:Q2","College",13746444,15760165,3665433,983817,2463061,3382988,1929487,3335379,2013721,1508876,362240,142605
"1995:Q2","SomeCollege",5657131,6792450,1862853,637316,859099,1535518,677292,1220373,1135319,801603,305844,27872
"1995:Q2","HS",5700151,6791195,1993764,644022,608547,1704969,570464,1269430,1091044,758701,298647,33696
"1995:Q2","NoHS",2184333,2456940,803078,219164,117005,549114,259837,508742,272607,169122,96395,7090
"1995:Q3","College",14065680,16114365,3618846,980837,2694998,3456849,1978751,3384083,2048685,1523608,374062,151014
