"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1992:Q4","Black",1059632,1301817,372776,135762,41284,502949,96192,152853,242185,155518,79653,7014
"1992:Q4","Hispanic",463181,655466,251653,74564,17293,142410,88899,80647,192285,141958,47610,2717
"1992:Q4","Other",1104850,1300898,335626,106637,116153,262812,214139,265530,196047,153237,32112,10698
"1993:Q1","White",21605151,24827152,6593114,1856593,3196225,5235511,2648063,5297646,3222002,2405646,661208,155148
"1993:Q1","Black",1104667,1342896,398062,153945,42362,499008,94786,154734,238229,155909,75292,7029
"1993:Q1","Hispanic",501071,686181,274822,75105,17530,145075,90275,83375,185110,138216,44213,2681
"1993:Q1","Other",1172353,1363309,388057,120758,121098,265339,210420,257637,190956,154417,26549,9990
"1993:Q2","White",21885634,25167331,6694591,1892778,3259976,5329189,2701741,5289056,3281696,2450703,675225,155769
"1993:Q2","Black",1104043,1346389,398729,150018,43694,503044,93308,157596,242346,160994,74612,6740
"1993:Q2","Hispanic",495830,680749,270018,75761,17723,149735,84396,83115,184920,138936,43366,2617
"1993:Q2","Other",1152183,1344359,380566,117695,122896,272778,195014,255411,192176,157195,25459,9522
"1993:Q3","White",22296854,25659088,6821742,1934336,3416349,5433024,2749853,5303783,3362233,2497309,697599,167326
"1993:Q3","Black",1093686,1342381,394250,143329,45602,508231,91008,159961,248694,166782,75239,6673
"1993:Q3","Hispanic",485473,671723,259018,75502,18051,154829,81185,83138,186251,139875,43618,2758
"1993:Q3","Other",1138353,1327091,357123,112712,132253,281507,186768,256727,188738,154051,26212,8475
"1993:Q4","White",22679079,26117231,6894448,1964574,3578872,5510068,2799759,5369510,3438151,2533975,728633,175543
"1993:Q4","Black",1104929,1363189,401335,145387,48481,517871,90659,159456,258259,170591,81090,6578
"1993:Q4","Hispanic",487910,675524,261395,77158,18442,160531,80277,77720,187614,139309,45536,2770
"1993:Q4","Other",1159324,1353181,364347,114959,144157,287421,179090,263206,193857,155303,30910,7644
"1994:Q1","White",22694823,26175952,6876602,1965030,3436983,5562811,2869275,5465251,3481129,2566520,736137,178472
"1994:Q1","Black",1135262,1393248,421584,157263,45603,521055,86900,160841,257986,174158,77406,6421
"1994:Q1","Hispanic",525720,709893,279038,80188,18202,166092,78422,87951,184172,138074,43280,2819
"1994:Q1","Other",1216328,1401289,406790,123555,122861,308265,176233,263585,184962,150717,27053,7192
"1994:Q2","White",22893654,26441493,6960225,1993082,3381869,5640373,2955956,5509987,3547838,2603873,761885,182080
"1994:Q2","Black",1107779,1374009,426606,159200,41044,515801,77582,153775,266230,177825,81997,6408
"1994:Q2","Hispanic",523466,708252,278606,81965,17962,170240,68016,91464,184786,137649,44342,2795
"1994:Q2","Other",1206689,1399131,404731,125301,103544,331972,168711,264872,192442,155275,30356,6811
"1994:Q3","White",23292134,26909137,7102412,2039270,3454073,5741881,3004161,5567340,3617003,2643207,791552,182243
"1994:Q3","Black",1081874,1357484,418191,153463,40067,520266,70689,154808,275610,181927,87434,6249
"1994:Q3","Hispanic",511504,697787,262264,82087,18053,175885,63369,96129,186283,137520,46072,2691
"1994:Q3","Other",1171896,1371670,364671,121678,100685,347878,166728,270030,199774,158395,34895,6484
"1994:Q4","White",23573309,27278807,7223428,2067813,3432918,5758896,3078298,5717455,3705499,2679918,830794,194787
"1994:Q4","Black",1048935,1338074,412062,152576,36752,526259,62216,148210,289139,185419,97206,6514
"1994:Q4","Hispanic",497477,686994,247641,82942,17919,182375,55358,100758,189517,137038,49695,2785
"1994:Q4","Other",1129156,1341851,322929,120832,86322,372731,161307,277731,212695,163565,43473,5657
"1995:Q1","White",24077592,27817544,7264838,2101323,3648773,5910992,3144755,5746863,3739952,2707356,839883,192714
"1995:Q1","Black",1049993,1339439,416350,153538,37027,522712,55761,154051,289447,187939,95050,6458
"1995:Q1","Hispanic",504976,690888,246700,82743,18223,185534,49254,108434,185912,135081,48188,2644
"1995:Q1","Other",1140637,1349166,324183,123095,95609,378233,153814,274232,208529,161551,41426,5552
"1995:Q2","White",24604421,28421300,7347087,2149076,3876892,6068566,3200622,5779058,3816879,2751107,869042,196729
"1995:Q2","Black",1041969,1340085,413135,141415,39971,531255,53136,161173,298116,193277,98171,6668
"1995:Q2","Hispanic",490729,679105,239326,79417,18672,191132,42884,107674,188376,135514,50183,2680
"1995:Q2","Other",1150941,1360261,325581,114411,112177,381637,140437,286018,209320,158404,45730,5186
"1995:Q3","White",25176726,29081434,7415116,2184928,4154715,6238167,3267777,5820731,3904708,2793877,900303,210528
"1995:Q3","Black",1046253,1355221,417005,134107,44463,539619,52824,167203,308969,197899,103913,7158
"1995:Q3","Hispanic",484486,676316,239785,76679,19252,196403,38308,105889,191830,135928,53117,2785
